"lookup_key","pkgNr","pkgCode","DAP","NPK","Urea"
"E29.34N-2.48",1,"red",166,227,269
"E29.28N-2.47",1,"red",166,227,269
"E29.41N-2.46",1,"red",166,227,269
"E29.42N-2.46",1,"red",166,227,269
"E29.49N-2.45",1,"red",166,227,269
"E29.56N-2.45",1,"red",166,227,269
"E29.46N-1.91",1,"red",166,227,269
"E29.47N-1.87",1,"red",166,227,269
"E29.58N-1.85",1,"red",166,227,269
"E29.41N-1.79",1,"red",166,227,269
"E29.48N-1.78",1,"red",166,227,269
"E29.6N-1.78",1,"red",166,227,269
"E29.45N-1.77",1,"red",166,227,269
"E29.36N-1.78",1,"red",166,227,269
"E29.32N-1.77",1,"red",166,227,269
"E29.32N-1.76",1,"red",166,227,269
"E29.52N-1.76",1,"red",166,227,269
"E29.36N-1.75",1,"red",166,227,269
"E29.49N-1.74",1,"red",166,227,269
"E29.57N-1.73",1,"red",166,227,269
"E29.56N-1.7",1,"red",166,227,269
"E29.54N-1.68",1,"red",166,227,269
"E29.55N-1.68",1,"red",166,227,269
"E29.5N-1.67",1,"red",166,227,269
"E29.53N-1.66",1,"red",166,227,269
"E29.42N-1.65",1,"red",166,227,269
"E29.6N-1.65",1,"red",166,227,269
"E29.45N-1.64",1,"red",166,227,269
"E29.54N-1.63",1,"red",166,227,269
"E29.54N-1.59",1,"red",166,227,269
"E29.55N-1.59",1,"red",166,227,269
"E29.39N-2.59",1,"red",166,227,269
"E29.38N-2.58",1,"red",166,227,269
"E29.36N-2.56",1,"red",166,227,269
"E29.43N-2.55",1,"red",166,227,269
"E29.22N-2.53",1,"red",166,227,269
"E30.14N-1.69",1,"red",166,227,269
"E30.15N-1.68",1,"red",166,227,269
"E29.81N-1.62",1,"red",166,227,269
"E30.01N-1.62",1,"red",166,227,269
"E30.01N-1.61",1,"red",166,227,269
"E30.12N-1.6",1,"red",166,227,269
"E29.4N-2.5",1,"red",166,227,269
"E29.54N-2.46",1,"red",166,227,269
"E29.56N-1.76",1,"red",166,227,269
"E29.58N-1.76",1,"red",166,227,269
"E29.51N-2.44",1,"red",166,227,269
"E29.57N-2.47",1,"red",166,227,269
"E29.37N-2.43",1,"red",166,227,269
"E29.55N-2.43",1,"red",166,227,269
"E29.37N-2.41",1,"red",166,227,269
"E29.39N-2.41",1,"red",166,227,269
"E29.37N-2.39",1,"red",166,227,269
"E29.44N-2.41",1,"red",166,227,269
"E29.39N-2.81",1,"red",166,227,269
"E29.27N-2.62",1,"red",166,227,269
"E29.28N-2.36",1,"red",166,227,269
"E29.22N-2.34",1,"red",166,227,269
"E29.45N-2.8",1,"red",166,227,269
"E29.5N-2.8",1,"red",166,227,269
"E29.49N-2.78",1,"red",166,227,269
"E29.53N-2.78",1,"red",166,227,269
"E29.45N-2.76",1,"red",166,227,269
"E29.44N-2.73",1,"red",166,227,269
"E29.5N-2.73",1,"red",166,227,269
"E29.51N-2.73",1,"red",166,227,269
"E29.44N-2.72",1,"red",166,227,269
"E29.52N-2.72",1,"red",166,227,269
"E29.52N-2.67",1,"red",166,227,269
"E29.53N-2.67",1,"red",166,227,269
"E29.52N-2.66",1,"red",166,227,269
"E29.53N-2.66",1,"red",166,227,269
"E29.99N-1.56",1,"red",166,227,269
"E29.98N-1.55",1,"red",166,227,269
"E29.98N-1.52",1,"red",166,227,269
"E29.89N-1.44",1,"red",166,227,269
"E29.88N-1.4",1,"red",166,227,269
"E29.84N-1.38",1,"red",166,227,269
"E29.84N-1.37",1,"red",166,227,269
"E29.8N-1.36",1,"red",166,227,269
"E29.81N-1.36",1,"red",166,227,269
"E29.58N-2.52",1,"red",166,227,269
"E29.58N-2.5",1,"red",166,227,269
"E29.61N-1.63",1,"red",166,227,269
"E29.41N-2.51",1,"red",166,227,269
"E29.39N-2.48",1,"red",166,227,269
"E29.53N-1.75",1,"red",166,227,269
"E29.55N-2.44",1,"red",166,227,269
"E29.56N-2.44",1,"red",166,227,269
"E29.53N-1.72",1,"red",166,227,269
"E29.56N-2.43",1,"red",166,227,269
"E29.54N-2.42",1,"red",166,227,269
"E29.55N-2.42",1,"red",166,227,269
"E29.55N-1.82",1,"red",166,227,269
"E29.44N-2.4",1,"red",166,227,269
"E29.6N-1.76",1,"red",166,227,269
"E29.48N-1.73",1,"red",166,227,269
"E30.19N-1.75",1,"red",166,227,269
"E30.17N-1.74",1,"red",166,227,269
"E29.47N-2.34",1,"red",166,227,269
"E29.46N-2.32",1,"red",166,227,269
"E29.43N-2.31",1,"red",166,227,269
"E29.48N-1.69",1,"red",166,227,269
"E29.46N-1.68",1,"red",166,227,269
"E29.46N-1.67",1,"red",166,227,269
"E29.47N-1.63",1,"red",166,227,269
"E30N-1.56",1,"red",166,227,269
"E30.01N-1.56",1,"red",166,227,269
"E30N-1.55",1,"red",166,227,269
"E29.41N-2.81",1,"red",166,227,269
"E30.02N-1.51",1,"red",166,227,269
"E29.99N-1.49",1,"red",166,227,269
"E29.99N-1.46",1,"red",166,227,269
"E29.41N-1.99",1,"red",166,227,269
"E29.49N-1.99",1,"red",166,227,269
"E29.41N-1.95",1,"red",166,227,269
"E29.39N-1.93",1,"red",166,227,269
"E29.58N-1.93",1,"red",166,227,269
"E29.41N-1.92",1,"red",166,227,269
"E29.25N-2.51",1,"red",166,227,269
"E29.26N-2.51",1,"red",166,227,269
"E29.37N-2.51",1,"red",166,227,269
"E29.25N-2.5",1,"red",166,227,269
"E29.5N-2.58",1,"red",166,227,269
"E29.37N-2.26",1,"red",166,227,269
"E29.35N-2.25",1,"red",166,227,269
"E29.4N-2.48",1,"red",166,227,269
"E29.53N-1.73",1,"red",166,227,269
"E29.52N-1.72",1,"red",166,227,269
"E29.44N-2.29",1,"red",166,227,269
"E29.37N-1.67",1,"red",166,227,269
"E29.57N-1.65",1,"red",166,227,269
"E29.37N-1.82",1,"red",166,227,269
"E29.56N-1.62",1,"red",166,227,269
